センター, center
テール髪, _辫子
◯目, _eye.001+
共鳴印, _MI_Star.001
共鳴印, _MI_Star
星目, _star
ハート目, _heart
頬染, _Cheek
手腕, _手臂
ピアス, _耳钉
ベルト, _帶子
ネックレス, _项链
インナー, _内衣
体, _body
後髪1, _bianzi1
後髪2, _辫子2
背鞄, _背包
帽飾, _帽饰alpha
スカート飾, _裙边alpha
マント, _背带
イヤリング, 耳墜
眼鏡, _眼镜
布前, _bu qian
布後, _bu hou
腹, _duzi
靴, _xiezi
足, _routui
眉顔エッジ, _MI_Face2
耳, ear
上着, _MI_Up
ジャケット, _罩衣
前髪, _MI_Bangs
髪, _MI_Hair
リボン2, _结x2
体, _MI_Body
小パーツ, _hou xiaopeijian
リボン, _领巾
髪リボン, _发带
足, _袜
ストッキング, _袜2
帽子羽, _帽饰
颜, _颜
颜1, _颜1
颜2, _顔2
新脸, _新脸
白目, _白目
目星, _目星
目, _目
眉, 眉
睫, _睫
二重, _二重
齿, _齿
齒, _齒
齿下, _齿下
下齿 , _下齿
齿上, _齿上
上齿, _上齿
口舌, _口舌
髪, _髪
髪饰1, _髪饰1
髪饰2, _髪饰2
髮辮, _髮辮
辫子1, _辫子1
辫子先, _辫子先
眉, _眉
耳朵, _耳朵
头饰, _头饰
头饰1, _头饰1
头饰2, _头饰2
头饰3, _头饰3
领结, _领结
披肩, _披肩
披肩带, _披肩带
披肩勋章, _披肩勋章
背结, _背结
神之眼, _神之眼
神之眼1, _神之眼1
神之眼2, _神之眼2
神之眼3, _神之眼3
神之眼AL, _神之眼AL
神之眼_Al, _神之眼_Al
神之眼框, _神之眼框
神之眼_AL, _神之眼_AL
后摆, _后摆
花边, _花边
花边2, _花边2
帽, _帽
帽带, _帽带
饰, _饰
饰1, _饰1
饰2, _饰2
体带, _体带
手饰, _手饰
肌, _肌
肌2, _肌2
披风, _披风
带, _带
带内, _带内
饰, _饰
裙, _裙
裙1, _裙1
裙2, _裙2
丝袜, _丝袜
下半身带, _下半身带
腿带, _腿带
左腰布, _左腰布
腰带, _腰带
腰饰, _腰饰
髮, _髮
髮+, _髮+
头花, _头花
体, _体
皮肤, _皮肤
左披肩1-1, _左披肩1-1
左披肩1-2, _左披肩1-2
左披肩1-3, _左披肩1-3
左披肩1-4, _左披肩1-4
左领_1, _左领_1
左领_2, _左领_2
左领_3, _左领_3
背饰, _背饰
背饰先, _背饰先
右领1_1, _右领1_1
右领1_2, _右领1_2
右领1_3, _右领1_3
后领1, _后领1
后领2, _后领2
后领1先, _后领1先
后领2先, _后领2先
腿饰, _腿饰
头盔, _头盔
头盔表情1, _头盔表情1
头盔表情2, _头盔表情2
头盔表情3, _头盔表情3
头盔表情4, _头盔表情4
左领, _左领
右领, _右领
耳, _耳
头绳, _头绳
肩勋章, _肩勋章
肩勋章带, _肩勋章带
披肩, _披肩
披肩带, _披肩带
尾, _尾
肌, _肌
肌2, _肌2
腿, _腿
蝴蝶结, _蝴蝶结
蝴蝶结2, _蝴蝶结2
花边, _花边
发, _发
发饰, _发饰
围巾, _围巾
手套, _手套
耳饰, _耳饰
脸红, _脸红
眼白, _眼白
脸, _脸
眼睛, _眼睛
头发, _头发
肩饰, _肩饰
耳环, _耳环
表情, _表情
衣服x2, _衣服x2
绒毛, _绒毛
眼罩, _眼罩
衣服, _衣服
袜子, _袜子
脖子, _脖子
领带, _领带
外套, _外套
饰品, _饰品
裤子, _裤子
顏, _顏
顏2, _顏2
耳墜, _耳墜
下襬, _下襬
领, _领
披风内侧, _披风内侧
披风饰, _披风饰
披风饰2, _披风饰2
面1, _面1
面2, _面2
发, _发
发_sph+, _发_sph+
材质3, _材质3
耳坠, _耳坠
材质4, _材质4
手环, _手环
外衣, _外衣
服_alpha, _服_alpha
创可贴, _创可贴
护目镜, _护目镜
护目镜片, _护目镜片
包, _包
鞋, _鞋
面１, _面１
面２, _面２
鞋子, _鞋子
手套, _手套
裙子, _裙子
鞋子, _鞋子
肩甲, _肩甲
裙饰, _裙饰
裙饰2, _裙饰2
饰, _饰
指甲, _指甲
飘带, _飘带
裙内, _裙内
后发, _后发
裤, _裤
发sph+, _发sph+
魔法书, _魔法书
发+, _发+
髮辮+, _髮辮+
头饰_金属, _头饰_金属
披风1, _披风1
披风2, _披风2
披风3, 披风3
披风4_1, 披风4_1
披风4_2, 披风4_2
前发, _前发
头饰2, _头饰2
挂饰品x2x2, _挂饰品x2x2
MI_Down, _MI_Down
MI_Down.002, _MI_Down.002
MI_Up.001, _MI_Up.001
ce jie, _ce jie
qian, _qian
hou, _hou
body, _body
body 2, _body 2
MI_Eye.001, _MI_Eye.001
MI_Eyes, _MI_Eyes
MI_Eyes+, _MI_Eyes+
hi, _hi
白, _白
kou2, _kou2
she, _she
she_001, _she_001
she_002, _she_002
kou, _kou
nose, _nose
mei, _mei
jie, _jie
hou2, _hou2
face, _face
bai2, _bai2
MI_Up.002, _MI_Up.002
MI_Down.001, _MI_Down.001
left qian shenzi, _left qian shenzi
right qian shenzi, _right qian shenzi
toushi, _toushi
hudiejie, _hudiejie
earing, _earing
后发, _后发
辫子, _辫子
eye.001+, _eye.001+
MI_Star.001, _MI_Star.001
MI_Star, _MI_Star
star, _star
heart, _heart
Cheek, _Cheek
手臂, _手臂
耳钉, _耳钉
帶子, _帶子
项链, _项链
内衣, _内衣
body, _body
bianzi1, _bianzi1
辫子2, _辫子2
背包, _背包
帽饰alpha, _帽饰alpha
裙边alpha, _裙边alpha
背带, _背带
眼镜, _眼镜
bu qian, _bu qian
bu hoe, _bu hou
pants, _pants
duzi, _duzi
xiezi, _xiezi
routui, _routui
MI_Eye, _MI_Eye
hi, _hi
bai, _bai
MI_Face2, _MI_Face2
ear, ear
MI_Up, _MI_Up
罩衣, _罩衣
MI_Bangs, _MI_Bangs
MI_Hair, _MI_Hair
结x2, _结x2
MI_Body, _MI_Body
hou xiaopeijian, _hou xiaopeijian
领巾, _领巾
发带, _发带
袜, _袜
袜2, _袜2

口のライン, _口线
瞳の光, _瞳光
目の影, _目影
ベスト, _背心
チャーム, _挂饰
ソックス1, _袜1
筋肉_1, _肌_1
ブレスエフェクト操作用, _ブレスエフェクト操作用
口线, _口线
瞳光, _瞳光
目影, _目影
背心, _背心
挂饰, _挂饰
袜1, _袜1
肌_1, _肌_1
ブレスエフェクト操作用, _ブレスエフェクト操作用
